City,Pop,PC_Inc,HHs,LHS,HS,SC_AA,BA,Prof_Grad,Inc_25K,Inc_25_50K,Inc_50_75K,Inc_75_100K,Inc_100_150K,Inc_150Kplus,MHI,BelowPov,Earn_35K,Earn_35K_65K,Earn_65Kplus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Commerce city, California","12,378","19,499","3,503",37.7%,23.9%,26.6%,9.3%,2.5%,20.8%,23.9%,17.4%,10.5%,19.6%,7.8%,"54,639",11.4%,44.3%,37.1%,18.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Compton city, California","95,740","17,049","23,915",37.9%,28.1%,24.7%,6.8%,2.5%,21.0%,21.2%,22.6%,13.6%,14.4%,7.1%,"58,703",19.5%,48.6%,35.9%,15.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Covina city, California","51,268","29,654","15,296",12.7%,25.2%,36.1%,18.5%,7.5%,13.9%,16.6%,17.8%,15.0%,17.6%,19.0%,"77,913",9.1%,28.9%,35.3%,35.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cudahy city, California","22,811","14,385","5,700",45.7%,27.8%,19.4%,6.0%,1.1%,24.1%,31.2%,21.5%,11.6%,7.7%,3.9%,"46,279",27.7%,60.6%,31.7%,7.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Culver City city, California","40,779","57,618","17,378",6.1%,10.1%,23.5%,31.8%,28.6%,12.5%,11.4%,12.3%,15.3%,18.2%,30.4%,"97,540",6.2%,12.6%,22.7%,64.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Diamond Bar city, California","55,072","39,646","17,642",6.4%,14.5%,25.1%,35.4%,18.6%,11.7%,12.5%,13.8%,11.5%,21.8%,28.8%,"100,723",6.5%,21.7%,30.5%,47.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Downey city, California","114,355","28,785","33,433",18.4%,25.3%,31.7%,17.1%,7.5%,10.4%,20.8%,17.9%,16.3%,17.8%,16.9%,"75,974",8.4%,33.9%,34.6%,31.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Duarte city, California","21,727","34,314","6,982",15.9%,21.0%,30.5%,21.0%,11.5%,14.9%,15.9%,16.1%,13.4%,20.5%,19.2%,"82,620",9.4%,30.9%,39.4%,29.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"El Monte city, California","109,450","17,963","29,077",38.3%,27.7%,20.5%,11.1%,2.3%,21.6%,24.5%,19.2%,14.1%,12.4%,8.2%,"53,874",17.4%,54.3%,32.2%,13.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"El Segundo city, California","17,272","55,948","6,645",2.9%,11.8%,29.4%,33.9%,21.9%,7.1%,12.4%,14.4%,9.7%,20.3%,36.1%,"115,846",5.0%,12.7%,20.6%,66.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
